route_variant_id,count,n_stops,route_sequence_str,is_reference,n_missing,n_added,missing_details,added_details,route_sequence_names
0,287,47,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,True,0,0,[],[],
1,81,48,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,0,1,[],"[{'stop_code': '1698', 'stop_name': 'בית הנוער העברי/הרב הרצוג', 'current_position': 19}]","[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', 'בית הנוער העברי/הרב הרצוג', ""הרב הרצוג/שח''ל"", 'הרצוג/ניות', 'הרצוג/טשרניחובסקי', 'עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
2,27,41,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1526-949-1054-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,6,0,"[{'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}]",[],"[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', ""הרב הרצוג/שח''ל"", 'הרצוג/ניות', 'הרצוג/טשרניחובסקי', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
3,7,42,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,6,1,"[{'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}]","[{'stop_code': '1698', 'stop_name': 'בית הנוער העברי/הרב הרצוג', 'current_position': 19}]","[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', 'בית הנוער העברי/הרב הרצוג', ""הרב הרצוג/שח''ל"", 'הרצוג/ניות', 'הרצוג/טשרניחובסקי', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
4,3,22,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949,False,26,1,"[{'stop_code': '1054', 'stop_name': 'הרצוג/טשרניחובסקי', 'reference_position': 21}, {'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}, {'stop_code': '1555', 'stop_name': 'אוסישקין/בצלאל', 'reference_position': 28}, {'stop_code': '2024', 'stop_name': 'בצלאל/טרומפלדור', 'reference_position': 29}, {'stop_code': '3605', 'stop_name': ""המלך ג'ורג'/בן יהודה"", 'reference_position': 30}, {'stop_code': '4173', 'stop_name': ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'reference_position': 31}, {'stop_code': '3379', 'stop_name': 'הנביאים/הרב קוק', 'reference_position': 32}, {'stop_code': '2246', 'stop_name': ""הנביאים/הע''ח"", 'reference_position': 33}, {'stop_code': '255', 'stop_name': 'משרד המשפטים/צלאח א דין', 'reference_position': 34}, {'stop_code': '257', 'stop_name': 'דרך שכם/לואי ונסן', 'reference_position': 35}, {'stop_code': '264', 'stop_name': 'דרך שכם/טובלר', 'reference_position': 36}, {'stop_code': '2410', 'stop_name': 'דרך הר הזיתים/נשאשיבי', 'reference_position': 37}, {'stop_code': '427', 'stop_name': 'קציר/קלרמון גנו', 'reference_position': 38}, {'stop_code': '9999', 'stop_name': ""אהרון קציר/שדרות צ'רצ'יל"", 'reference_position': 39}, {'stop_code': '1435', 'stop_name': ""שד' צ'רצ'יל/קציר"", 'reference_position': 40}, {'stop_code': '1444', 'stop_name': ""הדסה הר הצופים/שד' צ'רצ'יל"", 'reference_position': 41}, {'stop_code': '1445', 'stop_name': ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'reference_position': 42}, {'stop_code': '1371', 'stop_name': 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'reference_position': 43}, {'stop_code': '1368', 'stop_name': 'מחנה עופרית/מרטין בובר', 'reference_position': 44}, {'stop_code': '1367', 'stop_name': 'אקדמיה בצלאל/מרטין בובר', 'reference_position': 45}, {'stop_code': '1370', 'stop_name': 'מסוף הר הצופים/מרטין בובר', 'reference_position': 46}]","[{'stop_code': '1698', 'stop_name': 'בית הנוער העברי/הרב הרצוג', 'current_position': 19}]","[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', 'בית הנוער העברי/הרב הרצוג', ""הרב הרצוג/שח''ל"", 'הרצוג/ניות']"
22,2,25,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1575-1484,False,23,1,"[{'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}, {'stop_code': '1555', 'stop_name': 'אוסישקין/בצלאל', 'reference_position': 28}, {'stop_code': '2024', 'stop_name': 'בצלאל/טרומפלדור', 'reference_position': 29}, {'stop_code': '3605', 'stop_name': ""המלך ג'ורג'/בן יהודה"", 'reference_position': 30}, {'stop_code': '4173', 'stop_name': ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'reference_position': 31}, {'stop_code': '3379', 'stop_name': 'הנביאים/הרב קוק', 'reference_position': 32}, {'stop_code': '2246', 'stop_name': ""הנביאים/הע''ח"", 'reference_position': 33}, {'stop_code': '255', 'stop_name': 'משרד המשפטים/צלאח א דין', 'reference_position': 34}, {'stop_code': '257', 'stop_name': 'דרך שכם/לואי ונסן', 'reference_position': 35}, {'stop_code': '264', 'stop_name': 'דרך שכם/טובלר', 'reference_position': 36}, {'stop_code': '2410', 'stop_name': 'דרך הר הזיתים/נשאשיבי', 'reference_position': 37}, {'stop_code': '427', 'stop_name': 'קציר/קלרמון גנו', 'reference_position': 38}, {'stop_code': '9999', 'stop_name': ""אהרון קציר/שדרות צ'רצ'יל"", 'reference_position': 39}, {'stop_code': '1435', 'stop_name': ""שד' צ'רצ'יל/קציר"", 'reference_position': 40}, {'stop_code': '1444', 'stop_name': ""הדסה הר הצופים/שד' צ'רצ'יל"", 'reference_position': 41}, {'stop_code': '1445', 'stop_name': ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'reference_position': 42}, {'stop_code': '1371', 'stop_name': 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'reference_position': 43}, {'stop_code': '1368', 'stop_name': 'מחנה עופרית/מרטין בובר', 'reference_position': 44}, {'stop_code': '1367', 'stop_name': 'אקדמיה בצלאל/מרטין בובר', 'reference_position': 45}, {'stop_code': '1370', 'stop_name': 'מסוף הר הצופים/מרטין בובר', 'reference_position': 46}]","[{'stop_code': '1698', 'stop_name': 'בית הנוער העברי/הרב הרצוג', 'current_position': 19}]","[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', 'בית הנוער העברי/הרב הרצוג', ""הרב הרצוג/שח''ל"", 'הרצוג/ניות', 'הרצוג/טשרניחובסקי', 'עזה/הרב ברלין', ""עזה/רד''ק""]"
23,2,23,1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,24,0,"[{'stop_code': '6004', 'stop_name': ""אריה דולצ'ין/יעקב צור"", 'reference_position': 0}, {'stop_code': '6081', 'stop_name': ""דולצ'ין/נחמיה"", 'reference_position': 1}, {'stop_code': '9995', 'stop_name': ""דולצ'ין/יורם רונן"", 'reference_position': 2}, {'stop_code': '6124', 'stop_name': ""בי''ס היובל/דולצ'ין"", 'reference_position': 3}, {'stop_code': '3027', 'stop_name': ""מרכז מסחרי/דולצ'ין"", 'reference_position': 4}, {'stop_code': '3004', 'stop_name': ""דולצ'ין"", 'reference_position': 5}, {'stop_code': '9975', 'stop_name': ""דולצ'ין/קוליץ"", 'reference_position': 6}, {'stop_code': '3561', 'stop_name': 'קוליץ/האביבית', 'reference_position': 7}, {'stop_code': '9882', 'stop_name': 'קוליץ/שולוב', 'reference_position': 8}, {'stop_code': '3245', 'stop_name': 'הדישון/השועל', 'reference_position': 9}, {'stop_code': '5891', 'stop_name': 'הדישון/מעלות אייל', 'reference_position': 10}, {'stop_code': '3668', 'stop_name': 'הדישון/האייל', 'reference_position': 11}, {'stop_code': '5923', 'stop_name': ""האייל א'"", 'reference_position': 12}, {'stop_code': '3246', 'stop_name': ""האייל ב'"", 'reference_position': 13}, {'stop_code': '3249', 'stop_name': ""האייל ג'"", 'reference_position': 14}, {'stop_code': '3250', 'stop_name': 'האייל/היען', 'reference_position': 15}, {'stop_code': '2922', 'stop_name': ""קניון מלחה/א''ס הפועל   האייל"", 'reference_position': 16}, {'stop_code': '1586', 'stop_name': 'גולומב/סן מרטין', 'reference_position': 17}, {'stop_code': '1525', 'stop_name': 'צומת פת/הרב הרצוג', 'reference_position': 18}, {'stop_code': '1526', 'stop_name': ""הרב הרצוג/שח''ל"", 'reference_position': 19}, {'stop_code': '949', 'stop_name': 'הרצוג/ניות', 'reference_position': 20}, {'stop_code': '1054', 'stop_name': 'הרצוג/טשרניחובסקי', 'reference_position': 21}, {'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}]",[],"['עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
25,2,21,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526,False,27,1,"[{'stop_code': '949', 'stop_name': 'הרצוג/ניות', 'reference_position': 20}, {'stop_code': '1054', 'stop_name': 'הרצוג/טשרניחובסקי', 'reference_position': 21}, {'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}, {'stop_code': '1555', 'stop_name': 'אוסישקין/בצלאל', 'reference_position': 28}, {'stop_code': '2024', 'stop_name': 'בצלאל/טרומפלדור', 'reference_position': 29}, {'stop_code': '3605', 'stop_name': ""המלך ג'ורג'/בן יהודה"", 'reference_position': 30}, {'stop_code': '4173', 'stop_name': ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'reference_position': 31}, {'stop_code': '3379', 'stop_name': 'הנביאים/הרב קוק', 'reference_position': 32}, {'stop_code': '2246', 'stop_name': ""הנביאים/הע''ח"", 'reference_position': 33}, {'stop_code': '255', 'stop_name': 'משרד המשפטים/צלאח א דין', 'reference_position': 34}, {'stop_code': '257', 'stop_name': 'דרך שכם/לואי ונסן', 'reference_position': 35}, {'stop_code': '264', 'stop_name': 'דרך שכם/טובלר', 'reference_position': 36}, {'stop_code': '2410', 'stop_name': 'דרך הר הזיתים/נשאשיבי', 'reference_position': 37}, {'stop_code': '427', 'stop_name': 'קציר/קלרמון גנו', 'reference_position': 38}, {'stop_code': '9999', 'stop_name': ""אהרון קציר/שדרות צ'רצ'יל"", 'reference_position': 39}, {'stop_code': '1435', 'stop_name': ""שד' צ'רצ'יל/קציר"", 'reference_position': 40}, {'stop_code': '1444', 'stop_name': ""הדסה הר הצופים/שד' צ'רצ'יל"", 'reference_position': 41}, {'stop_code': '1445', 'stop_name': ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'reference_position': 42}, {'stop_code': '1371', 'stop_name': 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'reference_position': 43}, {'stop_code': '1368', 'stop_name': 'מחנה עופרית/מרטין בובר', 'reference_position': 44}, {'stop_code': '1367', 'stop_name': 'אקדמיה בצלאל/מרטין בובר', 'reference_position': 45}, {'stop_code': '1370', 'stop_name': 'מסוף הר הצופים/מרטין בובר', 'reference_position': 46}]","[{'stop_code': '1698', 'stop_name': 'בית הנוער העברי/הרב הרצוג', 'current_position': 19}]","[""אריה דולצ'ין/יעקב צור"", ""דולצ'ין/נחמיה"", ""דולצ'ין/יורם רונן"", ""בי''ס היובל/דולצ'ין"", ""מרכז מסחרי/דולצ'ין"", ""דולצ'ין"", ""דולצ'ין/קוליץ"", 'קוליץ/האביבית', 'קוליץ/שולוב', 'הדישון/השועל', 'הדישון/מעלות אייל', 'הדישון/האייל', ""האייל א'"", ""האייל ב'"", ""האייל ג'"", 'האייל/היען', ""קניון מלחה/א''ס הפועל   האייל"", 'גולומב/סן מרטין', 'צומת פת/הרב הרצוג', 'בית הנוער העברי/הרב הרצוג', ""הרב הרצוג/שח''ל""]"
10,2,20,1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,27,0,"[{'stop_code': '6004', 'stop_name': ""אריה דולצ'ין/יעקב צור"", 'reference_position': 0}, {'stop_code': '6081', 'stop_name': ""דולצ'ין/נחמיה"", 'reference_position': 1}, {'stop_code': '9995', 'stop_name': ""דולצ'ין/יורם רונן"", 'reference_position': 2}, {'stop_code': '6124', 'stop_name': ""בי''ס היובל/דולצ'ין"", 'reference_position': 3}, {'stop_code': '3027', 'stop_name': ""מרכז מסחרי/דולצ'ין"", 'reference_position': 4}, {'stop_code': '3004', 'stop_name': ""דולצ'ין"", 'reference_position': 5}, {'stop_code': '9975', 'stop_name': ""דולצ'ין/קוליץ"", 'reference_position': 6}, {'stop_code': '3561', 'stop_name': 'קוליץ/האביבית', 'reference_position': 7}, {'stop_code': '9882', 'stop_name': 'קוליץ/שולוב', 'reference_position': 8}, {'stop_code': '3245', 'stop_name': 'הדישון/השועל', 'reference_position': 9}, {'stop_code': '5891', 'stop_name': 'הדישון/מעלות אייל', 'reference_position': 10}, {'stop_code': '3668', 'stop_name': 'הדישון/האייל', 'reference_position': 11}, {'stop_code': '5923', 'stop_name': ""האייל א'"", 'reference_position': 12}, {'stop_code': '3246', 'stop_name': ""האייל ב'"", 'reference_position': 13}, {'stop_code': '3249', 'stop_name': ""האייל ג'"", 'reference_position': 14}, {'stop_code': '3250', 'stop_name': 'האייל/היען', 'reference_position': 15}, {'stop_code': '2922', 'stop_name': ""קניון מלחה/א''ס הפועל   האייל"", 'reference_position': 16}, {'stop_code': '1586', 'stop_name': 'גולומב/סן מרטין', 'reference_position': 17}, {'stop_code': '1525', 'stop_name': 'צומת פת/הרב הרצוג', 'reference_position': 18}, {'stop_code': '1526', 'stop_name': ""הרב הרצוג/שח''ל"", 'reference_position': 19}, {'stop_code': '949', 'stop_name': 'הרצוג/ניות', 'reference_position': 20}, {'stop_code': '1054', 'stop_name': 'הרצוג/טשרניחובסקי', 'reference_position': 21}, {'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}]",[],"['אוסישקין/נרקיס', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
69,1,21,949-1054-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,26,0,"[{'stop_code': '6004', 'stop_name': ""אריה דולצ'ין/יעקב צור"", 'reference_position': 0}, {'stop_code': '6081', 'stop_name': ""דולצ'ין/נחמיה"", 'reference_position': 1}, {'stop_code': '9995', 'stop_name': ""דולצ'ין/יורם רונן"", 'reference_position': 2}, {'stop_code': '6124', 'stop_name': ""בי''ס היובל/דולצ'ין"", 'reference_position': 3}, {'stop_code': '3027', 'stop_name': ""מרכז מסחרי/דולצ'ין"", 'reference_position': 4}, {'stop_code': '3004', 'stop_name': ""דולצ'ין"", 'reference_position': 5}, {'stop_code': '9975', 'stop_name': ""דולצ'ין/קוליץ"", 'reference_position': 6}, {'stop_code': '3561', 'stop_name': 'קוליץ/האביבית', 'reference_position': 7}, {'stop_code': '9882', 'stop_name': 'קוליץ/שולוב', 'reference_position': 8}, {'stop_code': '3245', 'stop_name': 'הדישון/השועל', 'reference_position': 9}, {'stop_code': '5891', 'stop_name': 'הדישון/מעלות אייל', 'reference_position': 10}, {'stop_code': '3668', 'stop_name': 'הדישון/האייל', 'reference_position': 11}, {'stop_code': '5923', 'stop_name': ""האייל א'"", 'reference_position': 12}, {'stop_code': '3246', 'stop_name': ""האייל ב'"", 'reference_position': 13}, {'stop_code': '3249', 'stop_name': ""האייל ג'"", 'reference_position': 14}, {'stop_code': '3250', 'stop_name': 'האייל/היען', 'reference_position': 15}, {'stop_code': '2922', 'stop_name': ""קניון מלחה/א''ס הפועל   האייל"", 'reference_position': 16}, {'stop_code': '1586', 'stop_name': 'גולומב/סן מרטין', 'reference_position': 17}, {'stop_code': '1525', 'stop_name': 'צומת פת/הרב הרצוג', 'reference_position': 18}, {'stop_code': '1526', 'stop_name': ""הרב הרצוג/שח''ל"", 'reference_position': 19}, {'stop_code': '1575', 'stop_name': 'עזה/הרב ברלין', 'reference_position': 22}, {'stop_code': '1484', 'stop_name': ""עזה/רד''ק"", 'reference_position': 23}, {'stop_code': '1079', 'stop_name': 'עזה/בלפור', 'reference_position': 24}, {'stop_code': '1080', 'stop_name': ""רמב''ן/אבן עזרא"", 'reference_position': 25}, {'stop_code': '1544', 'stop_name': ""קק''ל/אוסישקין"", 'reference_position': 26}, {'stop_code': '1546', 'stop_name': 'אוסישקין/נרקיס', 'reference_position': 27}]",[],"['הרצוג/ניות', 'הרצוג/טשרניחובסקי', 'אוסישקין/בצלאל', 'בצלאל/טרומפלדור', ""המלך ג'ורג'/בן יהודה"", ""תחנת רקל''ה יפו מרכז/המלך ג'ורג'"", 'הנביאים/הרב קוק', ""הנביאים/הע''ח"", 'משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי', 'קציר/קלרמון גנו', ""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל"", 'האוניברסיטה העברית הר הצופים/מרטין בובר', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']"
